date,actual,prediction,error,abs_error,pct_error,actual_change_pct,prediction_change_pct,error_category,analysis
2026-01-08,259.04001,272.4574547072352,-13.417444707235177,13.417444707235177,5.1796804313106595,-0.4955172471677205,-0.02583840527745629,сдвиг уровня,"Уровень ряда сместился быстрее, чем лаговые признаки успели адаптироваться; для исправления нужны внешние факторы или более частое переобучение."
2026-01-07,260.32999,272.5278715631837,-12.197881563183671,12.197881563183671,4.685546049912909,-0.7737460273572805,-0.02445383848715954,сдвиг уровня,"Уровень ряда сместился быстрее, чем лаговые признаки успели адаптироваться; для исправления нужны внешние факторы или более частое переобучение."
2025-12-02,286.19,274.3522095748746,11.837790425125377,11.837790425125377,4.1363396432878075,1.0914835361538922,-0.02764353909933126,ошибка направления,Рекурсивный прогноз запоздал относительно локального направления тренда; это типично для авторегрессионных прогнозов около краткосрочных разворотов.
2026-01-06,262.35999,272.59453138961453,-10.234541389614549,10.234541389614549,3.900953567506444,-1.8334280538267023,-0.02792881536261005,обычный шум,Остаток находится в обычном диапазоне шума для этого горизонта и набора признаков.
2025-12-03,284.14999,274.3500241251472,9.79996587485283,9.79996587485283,3.448870744233646,-0.7128166602606623,-0.0007965854296743125,обычный шум,Остаток находится в обычном диапазоне шума для этого горизонта и набора признаков.
2025-12-01,283.10001,274.428071206038,8.671938793962,8.671938793962,3.0632068130135353,1.5241168540750527,-0.0916706167103154,ошибка направления,Рекурсивный прогноз запоздал относительно локального направления тренда; это типично для авторегрессионных прогнозов около краткосрочных разворотов.
2025-12-04,280.70001,274.27004936568096,6.429960634319059,6.429960634319059,2.2906877111686095,-1.21414046152174,-0.029150629645924298,обычный шум,Остаток находится в обычном диапазоне шума для этого горизонта и набора признаков.
2026-01-05,267.26001,272.670685081799,-5.410675081798956,5.410675081798956,2.0244985704366907,-1.3837127270686422,-0.01578042936597468,обычный шум,Остаток находится в обычном диапазоне шума для этого горизонта и набора признаков.
2025-12-10,278.78,274.0021915878446,4.777808412155366,4.777808412155366,1.713827538616603,0.5772458538583436,-0.03351968594903498,ошибка направления,Рекурсивный прогноз запоздал относительно локального направления тренда; это типично для авторегрессионных прогнозов около краткосрочных разворотов.
2025-12-05,278.78,274.16423390677284,4.615766093227137,4.615766093227137,1.6557020206711879,-0.6840078131810756,-0.038580756139017236,обычный шум,Остаток находится в обычном диапазоне шума для этого горизонта и набора признаков.
2025-12-12,278.28,273.9002718288125,4.37972817118748,4.37972817118748,1.5738566088786405,0.08991835413445504,-0.021715485174245153,ошибка направления,Рекурсивный прогноз запоздал относительно локального направления тренда; это типично для авторегрессионных прогнозов около краткосрочных разворотов.
2025-11-28,278.85001,274.67987193862325,4.170138061376747,4.170138061376747,1.4954771066268735,0.4683912977262228,-0.10129507131557691,ошибка направления,Рекурсивный прогноз запоздал относительно локального направления тренда; это типично для авторегрессионных прогнозов около краткосрочных разворотов.
2025-12-11,278.03,273.9597635206432,4.070236479356765,4.070236479356765,1.4639558606469683,-0.26902934213358654,-0.015484572205615166,обычный шум,Остаток находится в обычном диапазоне шума для этого горизонта и набора признаков.
2025-12-08,277.89001,274.14375039537725,3.7462596046227645,3.7462596046227645,1.3481087731879113,-0.31924456560726844,-0.0074712558613909685,обычный шум,Остаток находится в обычном диапазоне шума для этого горизонта и набора признаков.
2025-12-09,277.17999,274.0940670583275,3.085922941672493,3.085922941672493,1.1133281813281302,-0.25550396719912216,-0.018123096725031207,обычный шум,Остаток находится в обычном диапазоне шума для этого горизонта и набора признаков.
2025-11-26,277.54999,274.95839123711505,2.591598762884928,2.591598762884928,0.9337412560832475,0.20940535075999467,0.01604416213631943,обычный шум,Остаток находится в обычном диапазоне шума для этого горизонта и набора признаков.
2025-12-22,270.97,273.26893383628146,-2.298933836281435,2.298933836281435,0.8484089885527677,-0.9865933062961352,-0.05266738785566494,обычный шум,Остаток находится в обычном диапазоне шума для этого горизонта и набора признаков.
2025-11-25,276.97,274.9142835437274,2.0557164562726484,2.0557164562726484,0.7422162892272262,,,обычный шум,Остаток находится в обычном диапазоне шума для этого горизонта и набора признаков.
2025-12-17,271.84,273.59012723924576,-1.750127239245785,1.750127239245785,0.6438078425712865,-1.0086996470885845,-0.03641629115610501,обычный шум,Остаток находится в обычном диапазоне шума для этого горизонта и набора признаков.
2026-01-02,271.01001,272.7137204778303,-1.7037104778302705,1.7037104778302705,0.6286522323770515,-0.31265358319183534,-0.01719480318064237,обычный шум,Остаток находится в обычном диапазоне шума для этого горизонта и набора признаков.
